true_class,predicted_as,count,pct_of_true_class
Insufficient_Weight,Normal_Weight,5,9.25925925925926
Overweight_Level_I,Normal_Weight,5,8.620689655172415
Overweight_Level_II,Obesity_Type_I,2,3.4482758620689653
Obesity_Type_I,Overweight_Level_II,2,2.857142857142857
Normal_Weight,Insufficient_Weight,1,1.7241379310344827
Normal_Weight,Overweight_Level_I,1,1.7241379310344827
Obesity_Type_II,Obesity_Type_I,1,1.6666666666666667
Obesity_Type_I,Overweight_Level_I,1,1.4285714285714286
Obesity_Type_III,Obesity_Type_II,1,1.5384615384615385
Overweight_Level_II,Overweight_Level_I,1,1.7241379310344827
